date,nav
2026-06-22,6199.4871
2026-06-19,6195.7815
2026-06-18,6194.652
2026-06-17,6193.3504
2026-06-16,6191.812
2026-06-15,6187.8223
2026-06-12,6181.8148
2026-06-11,6179.1996
2026-06-10,6181.7967
2026-06-09,6180.6685
2026-06-08,6174.2084
2026-06-05,6168.4755
2026-06-04,6160.9434
2026-06-03,6159.9626
2026-06-02,6158.9665
2026-06-01,6156.7532
2026-05-29,6151.1139
2026-05-27,6146.6118
2026-05-26,6144.0004
2026-05-25,6144.8478
2026-05-22,6142.638
2026-05-21,6142.8808
2026-05-20,6147.5856
2026-05-19,6149.7598
2026-05-18,6148.4847
2026-05-15,6148.3016
2026-05-14,6148.9361
2026-05-13,6150.1257
2026-05-12,6150.5076
2026-05-11,6151.8671
2026-05-08,6151.3707
2026-05-07,6149.9098
2026-05-06,6149.0307
2026-05-05,6146.0001
2026-05-04,6145.7049
2026-04-30,6140.1614
2026-04-29,6141.8799
2026-04-28,6143.001
2026-04-27,6142.5902
2026-04-24,6142.2018
2026-04-23,6141.9603
2026-04-22,6143.3663
2026-04-21,6142.9601
2026-04-20,6142.2537
2026-04-17,6139.2351
2026-04-16,6139.7004
2026-04-15,6137.6962
2026-04-13,6133.4071
2026-04-10,6129.7674
2026-04-09,6126.1544
2026-04-08,6119.1243
2026-04-07,6110.1834
2026-04-06,6107.3346
2026-04-02,6104.7264
2026-03-31,6102.5131
2026-03-30,6101.3858
2026-03-27,6095.1859
2026-03-25,6090.541
2026-03-24,6089.2045
2026-03-23,6090.1601
2026-03-20,6093.5261
2026-03-18,6093.8586
2026-03-17,6089.0993
2026-03-16,6086.3434
2026-03-13,6083.6197
2026-03-12,6087.112
2026-03-11,6088.3404
2026-03-10,6086.6516
2026-03-09,6085.2288
2026-03-06,6084.2962
2026-03-05,6082.3927
2026-03-04,6081.0589
2026-03-02,6081.764
2026-02-27,6079.9195
2026-02-26,6078.8123
2026-02-25,6077.5886
2026-02-24,6076.1758
2026-02-23,6074.6388
2026-02-20,6071.6571
2026-02-18,6069.767
2026-02-17,6069.7063
2026-02-16,6069.3783
2026-02-13,6066.864
2026-02-12,6063.705
2026-02-11,6061.1204
2026-02-10,6058.8643
2026-02-09,6057.5032
2026-02-06,6054.9686
2026-02-05,6055.7449
2026-02-04,6053.3313
2026-02-03,6050.7733
2026-02-02,6047.2159
2026-01-30,6043.7838
2026-01-29,6041.3173
2026-01-28,6040.7842
2026-01-27,6041.4977
2026-01-23,6037.6453
2026-01-22,6037.506
2026-01-21,6034.6246
2026-01-20,6033.4329
2026-01-19,6033.5639
2026-01-16,6031.7639
2026-01-14,6031.499
2026-01-13,6030.9953
2026-01-12,6031.2329
2026-01-09,6028.4591
2026-01-08,6028.086
2026-01-07,6028.3846
2026-01-06,6028.7271
2026-01-05,6027.6905
2026-01-02,6025.268
2026-01-01,6024.7187
2025-12-31,6023.5454
2025-12-30,6020.3988
2025-12-29,6020.5172
2025-12-26,6017.7227
2025-12-24,6015.9944
2025-12-23,6013.8267
2025-12-22,6012.9635
2025-12-19,6009.9347
2025-12-18,6008.9502
2025-12-17,6007.8902
2025-12-16,6007.2035
2025-12-15,6006.304
2025-12-12,6004.0068
2025-12-11,6003.0596
2025-12-10,6002.278
2025-12-09,6002.302
2025-12-08,6002.0388
2025-12-05,5999.0953
2025-12-04,5996.9391
2025-12-03,5996.3511
2025-12-02,5995.7798
2025-12-01,5994.9936
2025-11-28,5992.5375
2025-11-27,5991.5695
2025-11-26,5990.4554
2025-11-25,5989.3488
2025-11-24,5988.0799
2025-11-21,5985.1789
2025-11-20,5984.2663
2025-11-19,5983.4016
2025-11-18,5982.3808
2025-11-17,5981.2066
2025-11-14,5978.3518
2025-11-13,5977.4171
2025-11-12,5976.3688
2025-11-11,5975.0374
2025-11-10,5973.9734
2025-11-07,5971.0247
2025-11-06,5969.9256
2025-11-04,5967.9587
2025-11-03,5966.9646
2025-10-31,5963.9425
2025-10-30,5962.9105
2025-10-29,5962.2436
2025-10-28,5961.2816
2025-10-27,5959.9594
2025-10-24,5957.0133
2025-10-23,5956.2661
2025-10-20,5953.5542
2025-10-17,5950.679
2025-10-16,5949.9941
2025-10-15,5949.6158
2025-10-14,5948.725
2025-10-13,5947.7955
2025-10-10,5944.8495
2025-10-09,5943.9808
2025-10-08,5943.1699
2025-10-07,5942.4446
2025-10-06,5941.7936
2025-10-03,5938.4748
2025-10-01,5935.6
2025-09-30,5933.5373
2025-09-26,5928.0474
2025-09-25,5927.3108
2025-09-24,5926.6741
2025-09-23,5925.9531
2025-09-22,5924.9723
2025-09-19,5922.1357
2025-09-18,5921.2244
2025-09-17,5919.7048
2025-09-16,5918.118
2025-09-15,5916.611
2025-09-12,5913.8365
2025-09-11,5913.2938
2025-09-10,5912.0041
2025-09-09,5911.3924
2025-09-05,5908.5683
2025-09-04,5907.6123
2025-09-03,5906.7644
2025-09-02,5905.9868
2025-09-01,5905.5718
2025-08-29,5902.9876
2025-08-28,5902.4099
2025-08-26,5900.7107
2025-08-25,5899.9888
2025-08-22,5897.2374
2025-08-21,5896.2147
2025-08-20,5895.2164
2025-08-19,5894.2742
2025-08-18,5892.9896
2025-08-14,5889.2636
2025-08-13,5888.1247
2025-08-12,5887.3908
2025-08-11,5887.2286
2025-08-08,5884.8484
2025-08-07,5884.0837
2025-08-06,5883.3045
2025-08-05,5883.4482
2025-08-04,5882.1589
2025-08-01,5878.7932
2025-07-31,5877.5109
2025-07-30,5876.5092
2025-07-29,5875.6626
2025-07-28,5875.1043
2025-07-25,5872.8052
2025-07-24,5872.0366
2025-07-23,5871.1828
2025-07-22,5869.8417
2025-07-21,5869.1171
2025-07-18,5866.4951
2025-07-17,5865.3853
2025-07-16,5864.3753
2025-07-15,5863.6201
2025-07-14,5862.5908
2025-07-11,5858.9296
2025-07-10,5858.4766
2025-07-09,5857.2164
2025-07-08,5856.9332
2025-07-07,5856.2977
2025-07-04,5853.3606
2025-07-03,5852.4845
2025-07-02,5851.0981
2025-07-01,5847.481
2025-06-30,5843.7929
2025-06-27,5840.5596
2025-06-26,5839.2453
2025-06-25,5838.0925
2025-06-24,5838.486
2025-06-23,5837.2267
2025-06-20,5833.9386
2025-06-19,5832.8313
2025-06-18,5831.6321
2025-06-17,5830.1383
2025-06-16,5829.3242
2025-06-13,5826.4969
2025-06-12,5826.0507
2025-06-11,5825.4478
