date,nav
2026-06-22,105.985
2026-06-19,105.9219
2026-06-18,105.9003
2026-06-17,105.8482
2026-06-16,105.8455
2026-06-15,105.8125
2026-06-12,105.6864
2026-06-11,105.5737
2026-06-10,105.6569
2026-06-09,105.5793
2026-06-08,105.3084
2026-06-05,105.107
2026-06-04,104.8095
2026-06-03,104.7496
2026-06-02,104.7663
2026-06-01,104.7025
2026-05-29,104.657
2026-05-27,104.5833
2026-05-26,104.5269
2026-05-25,104.5215
2026-05-22,104.3467
2026-05-21,104.285
2026-05-20,104.3826
2026-05-19,104.4216
2026-05-18,104.3791
2026-05-15,104.5968
2026-05-14,104.7318
2026-05-13,104.7371
2026-05-12,104.7585
2026-05-11,104.8053
2026-05-08,104.8696
2026-05-07,104.8762
2026-05-06,104.8043
2026-05-05,104.6166
2026-05-04,104.6544
2026-04-30,104.5706
2026-04-29,104.6594
2026-04-28,104.7428
2026-04-27,104.7771
2026-04-24,104.7091
2026-04-23,104.7652
2026-04-22,104.8473
2026-04-21,104.847
2026-04-20,104.8369
2026-04-17,104.7821
2026-04-16,104.7959
2026-04-15,104.7901
2026-04-13,104.6113
2026-04-10,104.5956
2026-04-09,104.515
2026-04-08,104.3919
2026-04-07,103.9918
2026-04-06,103.9142
2026-04-02,103.8813
2026-03-31,104.0116
2026-03-30,103.9921
2026-03-27,103.9102
2026-03-25,103.9713
2026-03-24,103.9816
2026-03-23,110.6625
2026-03-20,110.9352
2026-03-18,110.9985
2026-03-17,110.9316
2026-03-16,110.9159
2026-03-13,110.9287
2026-03-12,110.9898
2026-03-11,111.1072
2026-03-10,111.0484
2026-03-09,110.9193
2026-03-06,111.0395
2026-03-05,111.0534
2026-03-04,110.9499
2026-03-02,111.0653
2026-02-27,111.0261
2026-02-26,111.0069
2026-02-25,110.9826
2026-02-24,110.9394
2026-02-23,110.8829
2026-02-20,110.807
2026-02-18,110.8613
2026-02-17,110.8682
2026-02-16,110.8409
2026-02-13,110.7584
2026-02-12,110.6309
2026-02-11,110.5056
2026-02-10,110.4293
2026-02-09,110.4233
2026-02-06,110.4173
2026-02-05,110.5985
2026-02-04,110.4477
2026-02-03,110.296
2026-02-02,110.1537
2026-01-30,110.1903
2026-01-29,110.0922
2026-01-28,110.0855
2026-01-27,110.1078
2026-01-23,110.0766
2026-01-22,110.0539
2026-01-21,109.9438
2026-01-20,109.9385
2026-01-19,109.9742
2026-01-16,110.0107
2026-01-14,110.1286
2026-01-13,110.1878
2026-01-12,110.2974
2026-01-09,110.2327
2026-01-08,110.2218
2026-01-07,110.2175
2026-01-06,110.2647
2026-01-05,110.2498
2026-01-02,110.3333
2026-01-01,110.3493
2025-12-31,110.3212
2025-12-30,110.2176
2025-12-29,110.2799
2025-12-26,110.2247
2025-12-24,110.2079
2025-12-23,109.9954
2025-12-22,110.0241
2025-12-19,110.0403
2025-12-18,110.0195
2025-12-17,110.0266
2025-12-16,110.0261
2025-12-15,109.9944
2025-12-12,110.0652
2025-12-11,110.0609
2025-12-10,110.0466
2025-12-09,110.1852
2025-12-08,110.3299
2025-12-05,110.3373
2025-12-04,110.235
2025-12-03,110.2362
2025-12-02,110.2349
2025-12-01,110.211
2025-11-28,110.2615
2025-11-27,110.2743
2025-11-26,110.2658
2025-11-25,110.1924
2025-11-24,110.1322
2025-11-21,110.0708
2025-11-20,110.0882
2025-11-19,110.0771
2025-11-18,110.0205
2025-11-17,109.9756
2025-11-14,109.9725
2025-11-13,109.9907
2025-11-12,109.9947
2025-11-11,109.961
2025-11-10,109.925
2025-11-07,109.8609
2025-11-06,109.8337
2025-11-04,109.7941
2025-11-03,109.7548
2025-10-31,109.6768
2025-10-30,109.6521
2025-10-29,109.6934
2025-10-28,109.6404
2025-10-27,109.6125
2025-10-24,109.5673
2025-10-23,109.5817
2025-10-20,109.6155
2025-10-17,109.5844
2025-10-16,109.5131
2025-10-15,109.4754
2025-10-14,109.4088
2025-10-13,109.3763
2025-10-10,109.2852
2025-10-09,109.2597
2025-10-08,109.2524
2025-10-07,109.2045
2025-10-06,109.0926
2025-10-03,108.9591
2025-10-01,108.8285
